kelime,onem
aşağıdaki,1.140076463635223
ınstagram,1.0964395461094258
merhaba,1.0650900939938797
faturası,1.0181546979796683
tıklayın,0.9314048928549262
linkedın,0.9262348047071904
facebook,0.9197330370056103
fatura,0.8998151239910778
üyelik,0.8332835087333302
ders,0.8221702871023913
öğrenci,0.7738192478228216
güvenlik,0.7732281918788794
acil,0.7619613676454373
lütfen,0.75422960061377
öğrenciler,0.7279010605515314
faturanız,0.7252302761013507
acilen,0.7120041099391891
hemen,0.6976978801236207
arkadaşlar,0.6765857465201501
sayın,0.6749090870604388
