,precision,recall,f1-score,support
Abonelik/Fatura,0.8985507246376812,0.93,0.914004914004914,200.0
Diğer,0.8431372549019608,0.86,0.8514851485148515,200.0
Eğitim/Öğretim,0.9289340101522843,0.915,0.9219143576826196,200.0
Güvenlik/Uyarı,0.8418604651162791,0.905,0.8722891566265061,200.0
Kişisel,0.8509615384615384,0.885,0.8676470588235294,200.0
Pazarlama,0.9005524861878453,0.815,0.8556430446194225,200.0
Sağlık,0.9536082474226805,0.925,0.9390862944162437,200.0
Sosyal Medya,0.9057591623036649,0.865,0.8849104859335039,200.0
Spam,0.9179487179487179,0.895,0.9063291139240506,200.0
İş/Acil,0.8221153846153846,0.855,0.8382352941176471,200.0
accuracy,0.885,0.885,0.885,0.885
macro avg,0.8863427991748039,0.8850000000000001,0.8851544868663288,2000.0
weighted avg,0.8863427991748036,0.885,0.8851544868663289,2000.0
